turn	era	score	type	description
133	ERA_MODERN	1	MOMENT_GOVERNOR_ALL_APPOINTED_FIRST	Victor, the Castellan, enters your service and completes your staff of capable advisors.
133	ERA_MODERN	3	MOMENT_NATIONAL_PARK_CREATED	Our civilization’s citizens flock to the newest National Park and reconnect to the natural world.
134	ERA_MODERN	2	MOMENT_PLAYER_GAVE_ENVOY_CANCELED_LEVY	The Mapuche learns that politics is also a battlefield, as China overturns their Suzerain status in Mexico City.
134	ERA_MODERN	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Galápagos Islands.
135	ERA_MODERN	2	MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST	Our people continue to evolve their political system, and attempt the revolutionary new government of Digital Democracy.
136	ERA_MODERN	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Sergei Korolev chooses to bring their talents to China.
136	ERA_MODERN	1	MOMENT_TRADING_POST_CONSTRUCTED_IN_OTHER_CIV	Dusty and tired but eager to haggle, merchants open our first Trading Post in the lands of Germany.
137	ERA_MODERN	4	MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER	Standing in the Eiffel Tower, the citizens of Xiurong are filled with awe.
138	ERA_ATOMIC	3	MOMENT_NATIONAL_PARK_CREATED	Our civilization’s citizens flock to the newest National Park and reconnect to the natural world.
139	ERA_ATOMIC	1	MOMENT_MITIGATED_COASTAL_FLOOD	The rising seas pound against the Xi'an Flood Barrier, but the city is safe.
139	ERA_ATOMIC	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Torres del Paine.
139	ERA_ATOMIC	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Pantanal.
139	ERA_ATOMIC	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Ik-Kil.
139	ERA_ATOMIC	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Bermuda Triangle.
139	ERA_ATOMIC	1	MOMENT_FIND_NATURAL_WONDER	Explorers of China discover the majesty of Giant's Causeway.
139	ERA_ATOMIC	1	MOMENT_CIVIC_CULTURVATED_IN_ERA_FIRST	Let others say what they will, but the real flourishing of Future Era culture began with the discovery of Global Warming Mitigation by China.
139	ERA_ATOMIC	3	MOMENT_BUILDING_CONSTRUCTED_FULL_WATER_ENTERTAINMENT_COMPLEX_FIRST	They say that the best way to visit Xi'an is on a summer day, as the sun sets and the lights of the Water Park come alight, watching the crowd on the boardwalk.
139	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Clara Schumann chooses to bring their talents to China.
139	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Edmonia Lewis chooses to bring their talents to China.
139	ERA_ATOMIC	3	MOMENT_NATIONAL_PARK_CREATED	Our civilization’s citizens flock to the newest National Park and reconnect to the natural world.
141	ERA_ATOMIC	3	MOMENT_BUILDING_CONSTRUCTED_PAST_ERA_WONDER	Standing in the Statue of Liberty, the citizens of Changsha remember their glorious past.
141	ERA_ATOMIC	1	MOMENT_CITY_SIZE_LARGE_FIRST	Paradoxically, the citizens of Changsha are both incredibly proud of their city's size, and yet never stop complaining about how crowded it has gotten.
